tool\user,en,de,hi,zh,es,fr
en,0.8425,0.8789,0.8573,0.8641,0.8684,0.9074
de,0.8832,0.8876,0.9005,0.8919,0.8919,0.9179
hi,0.8796,0.8789,0.8901,0.9222,0.9179,0.9222
zh,0.8901,0.9030,0.9179,0.8616,0.8832,0.9030
es,0.8962,0.8839,0.9092,0.9005,0.8659,0.8919
fr,0.8962,0.9005,0.9222,0.9005,0.9179,0.9005
