tool\user,en,de,hi,zh,es,fr
en,0.9135,0.8962,0.9179,0.9135,0.8962,0.9135
de,0.9092,0.8876,0.9092,0.9049,0.8876,0.9222
hi,0.9030,0.9092,0.9265,0.8919,0.9005,0.9265
zh,0.8962,0.9031,0.9092,0.8876,0.9030,0.9308
es,0.9160,0.9005,0.9222,0.8919,0.8833,0.8962
fr,0.9135,0.9073,0.9179,0.9005,0.8858,0.9005
