tool\sys,en,de,hi,zh,es,fr
en,0.1467,0.1933,0.1567,0.1567,0.1333,0.0567
de,0.1500,0.2267,0.1533,0.2067,0.1100,0.0567
hi,0.1567,0.1467,0.1567,0.1533,0.1033,0.0533
zh,0.1967,0.1767,0.1433,0.1467,0.1267,0.0833
es,0.1600,0.2033,0.1433,0.2267,0.1433,0.0800
fr,0.1733,0.1900,0.0967,0.2000,0.1200,0.0733
