tool\sys,en,de,hi,zh,es,fr
en,0.1639,0.3197,0.2476,0.2255,0.1876,0.1028
de,0.1699,0.3663,0.2455,0.2846,0.1535,0.0973
hi,0.1790,0.2408,0.2526,0.2122,0.1489,0.1033
zh,0.2185,0.2862,0.2329,0.1976,0.1748,0.1519
es,0.1788,0.3262,0.2217,0.3259,0.2021,0.1620
fr,0.1952,0.3062,0.1520,0.2752,0.1680,0.1268
