tool\sys,en,de,hi,zh,es,fr
en,0.9352,0.9200,0.9135,0.9160,0.9114,0.9179
de,0.9049,0.9095,0.9247,0.8962,0.9092,0.9308
hi,0.9287,0.8941,0.9114,0.9049,0.8811,0.9244
zh,0.9135,0.9027,0.8836,0.8876,0.9027,0.9222
es,0.9049,0.9135,0.8854,0.8984,0.9243,0.9308
fr,0.9268,0.9351,0.8922,0.9092,0.9178,0.9135
