user\sys,en,de,hi,zh,es,fr
en,0.0050,0.0150,0.0000,0.0050,0.0250,0.0150
de,0.0100,0.0050,0.0050,0.0150,0.0150,0.0300
hi,0.0200,0.0700,0.0100,0.0400,0.0500,0.0450
zh,0.0050,0.0200,0.0150,0.0050,0.0150,0.0150
es,0.0050,0.0300,0.0100,0.0050,0.0100,0.0150
fr,0.0000,0.0050,0.0050,0.0050,0.0150,0.0100
