tool\user,en,de,hi,zh,es,fr
en,0.2133,0.2067,0.2433,0.2333,0.2333,0.1533
de,0.2667,0.2533,0.1867,0.2600,0.2633,0.2267
hi,0.3000,0.2500,0.2167,0.2367,0.2767,0.2767
zh,0.1833,0.2000,0.1933,0.2300,0.2467,0.1467
es,0.2300,0.2300,0.2067,0.2633,0.2300,0.1867
fr,0.1900,0.1967,0.1867,0.2300,0.2033,0.1800
