tool\sys,en,de,hi,zh,es,fr
en,1.0000,0.9900,0.9667,0.9867,0.9733,0.9700
de,0.9833,0.9900,0.8400,0.8800,0.8833,0.9333
hi,0.9533,0.8233,0.9600,0.7100,0.6800,0.6867
zh,0.9867,0.9500,0.8867,0.9933,0.9233,0.9300
es,0.9967,0.9800,0.8733,0.9567,0.9933,0.9767
fr,0.9933,0.9900,0.8700,0.9200,0.9700,0.9800
