tool\sys,en,de,hi,zh,es,fr
en,1.0000,0.9900,0.9700,0.9867,0.9733,0.9700
de,0.9833,0.9900,0.8479,0.8800,0.8833,0.9333
hi,0.9533,0.8317,0.9600,0.7100,0.6913,0.6867
zh,0.9867,0.9500,0.8897,0.9967,0.9233,0.9391
es,0.9967,0.9800,0.8767,0.9598,0.9933,0.9767
fr,0.9933,0.9900,0.8761,0.9200,0.9700,0.9800
