tool\sys,en,de,hi,zh,es,fr
en,0.1667,0.1167,0.1300,0.1300,0.1533,0.1400
de,0.2967,0.1467,0.2167,0.1900,0.1967,0.2033
hi,0.3567,0.2133,0.2400,0.1933,0.2500,0.2600
zh,0.2767,0.1867,0.1833,0.2300,0.2400,0.2367
es,0.2767,0.1600,0.1467,0.2333,0.2367,0.1867
fr,0.2733,0.1300,0.2100,0.2067,0.1900,0.1967
