tool\sys,en,de,hi,zh,es,fr
en,0.9633,0.9233,0.7867,0.8267,0.8767,0.9200
de,0.8933,0.9600,0.8033,0.7433,0.8667,0.9000
hi,1.0000,0.9967,1.0000,0.9867,1.0000,1.0000
zh,0.9967,1.0000,0.9733,0.9900,0.9933,1.0000
es,0.9200,0.9500,0.7133,0.8100,0.9100,0.8967
fr,0.9367,0.9667,0.8000,0.8067,0.9067,0.9700
