tool\sys,en,de,hi,zh,es,fr
en,0.3513,0.2877,0.2188,0.3490,0.2906,0.2705
de,0.3348,0.3484,0.2634,0.3357,0.3402,0.2930
hi,0.3245,0.3434,0.2631,0.3302,0.2877,0.2765
zh,0.2938,0.2766,0.2298,0.2943,0.2658,0.2622
es,0.3726,0.3732,0.2865,0.3410,0.3410,0.3111
fr,0.4327,0.3797,0.3370,0.3871,0.3612,0.3345
