tool\sys,en,de,hi,zh,es,fr
en,0.6985,0.6480,0.6049,0.7625,0.6745,0.6034
de,0.7609,0.7287,0.6933,0.7695,0.9054,0.8107
hi,0.7887,0.9524,0.8112,0.9126,0.7688,0.7482
zh,0.7138,0.7279,0.5741,0.7228,0.6688,0.6656
es,0.8549,0.8189,0.7570,0.7798,0.7450,0.7600
fr,0.8958,0.9040,0.7944,0.8685,0.8305,0.6846
