tool\sys,en,de,hi,zh,es,fr
en,0.5013,0.4488,0.3645,0.4586,0.4166,0.4331
de,0.4367,0.4820,0.3850,0.4484,0.3845,0.3534
hi,0.4192,0.3772,0.3407,0.3719,0.3732,0.3604
zh,0.4231,0.3983,0.4043,0.4175,0.4036,0.3962
es,0.4457,0.4618,0.3801,0.4410,0.4557,0.4191
fr,0.4885,0.4357,0.4184,0.4521,0.4402,0.4791
