tool\sys,en,de,hi,zh,es,fr
en,0.4900,0.2200,0.1900,0.1700,0.1100,0.1400
de,0.6000,0.2000,0.4500,0.3800,0.1400,0.2300
hi,0.6800,0.4700,0.3100,0.3900,0.2600,0.2900
zh,0.7600,0.4200,0.6100,0.1900,0.3400,0.3700
es,0.7500,0.4800,0.5300,0.4600,0.1200,0.2500
fr,0.6800,0.3000,0.4700,0.2900,0.1300,0.1700
