tool\user,en,de,hi,zh,es,fr
en,0.3943,0.5138,0.5231,0.5696,0.4733,0.4846
de,0.6618,0.4991,0.6115,0.7561,0.6442,0.6695
hi,0.7545,0.8257,0.4712,0.7821,0.7970,0.8427
zh,0.5459,0.5107,0.4987,0.4209,0.4871,0.5326
es,0.6025,0.6020,0.5394,0.7271,0.3759,0.6409
fr,0.6151,0.6117,0.6376,0.6892,0.5599,0.4583
