tool\sys,en,de,hi,zh,es,fr
en,0.3324,0.3513,0.2998,0.4150,0.3208,0.3655
de,0.4584,0.4696,0.4093,0.4949,0.4434,0.4634
hi,0.5330,0.5497,0.3723,0.5615,0.5212,0.5413
zh,0.3362,0.3573,0.3301,0.3450,0.3278,0.3471
es,0.3481,0.3721,0.3263,0.4260,0.2814,0.3669
fr,0.4331,0.4017,0.3721,0.4662,0.3455,0.3850
