tool\user,en,de,hi,zh,es,fr
en,0.0033,0.0167,0.0100,0.0067,0.0133,0.0067
de,0.0433,0.0100,0.0500,0.0533,0.0267,0.0400
hi,0.1567,0.1833,0.0567,0.1433,0.1467,0.1833
zh,0.0067,0.0067,0.0033,0.0133,0.0033,0.0033
es,0.0067,0.0333,0.0400,0.0367,0.0000,0.0133
fr,0.0000,0.0267,0.0167,0.0300,0.0033,0.0000
