tool\user,en,de,hi,zh,es,fr
en,0.8659,0.8860,0.8445,0.8959,0.9074,0.8716
de,0.9041,0.8671,0.9164,0.9115,0.9317,0.9082
hi,0.9337,0.9539,0.9325,0.9423,0.9452,0.9337
zh,0.9077,0.9510,0.9313,0.9024,0.9238,0.9251
es,0.8827,0.9123,0.9123,0.9065,0.8548,0.8909
fr,0.8757,0.9065,0.9209,0.9424,0.9123,0.8695
