tool\user,en,de,hi,zh,es,fr
en,0.8615,0.8846,0.8389,0.8895,0.9031,0.8638
de,0.9021,0.8599,0.9065,0.9086,0.9288,0.9068
hi,0.9294,0.9524,0.9238,0.9366,0.9452,0.9308
zh,0.9049,0.9481,0.9255,0.8981,0.9238,0.9236
es,0.8821,0.9103,0.9080,0.8979,0.8534,0.8895
fr,0.8729,0.9051,0.9160,0.9380,0.9123,0.8631
