tool\user,en,de,hi,zh,es,fr
en,0.9294,0.9311,0.9366,0.9510,0.9438,0.9311
de,0.9524,0.9426,0.9461,0.9345,0.9481,0.9317
hi,0.9308,0.9481,0.9331,0.9351,0.9539,0.9308
zh,0.9366,0.9539,0.9279,0.9319,0.9452,0.9247
es,0.9409,0.9424,0.9323,0.9553,0.9250,0.9337
fr,0.9366,0.9481,0.9568,0.9345,0.9348,0.9135
