tool\sys,en,de,hi,zh,es,fr
en,0.2733,0.1867,0.1000,0.1800,0.2433,0.1700
de,0.3500,0.1200,0.1767,0.2300,0.3300,0.1500
hi,0.1933,0.2267,0.0633,0.2167,0.2100,0.1500
zh,0.1800,0.0833,0.0233,0.0100,0.1233,0.1467
es,0.2700,0.3200,0.1133,0.1600,0.1300,0.2000
fr,0.3467,0.2800,0.1067,0.2500,0.2233,0.0567
