user\sys,en,de,hi,zh,es,fr
en,0.2677,0.0400,0.1100,0.1350,0.2150,0.0700
de,0.3257,0.1110,0.3261,0.3060,0.3011,0.3870
hi,0.1510,0.0352,0.1918,0.0854,0.2015,0.0957
zh,0.2423,0.0251,0.0701,0.1071,0.1754,0.1303
es,0.1000,0.0400,0.1550,0.1100,0.0253,0.0353
fr,0.3130,0.0908,0.1111,0.1310,0.1260,0.0858
