tool\user,en,de,hi,zh,es,fr
en,0.1686,0.1650,0.1805,0.2162,0.2144,0.1735
de,0.1821,0.1650,0.1658,0.3076,0.2336,0.1901
hi,0.3138,0.2850,0.2567,0.3574,0.2981,0.3027
zh,0.1686,0.2100,0.1805,0.1963,0.2016,0.1467
es,0.1552,0.1350,0.1502,0.2026,0.1629,0.1605
fr,0.1423,0.1650,0.1502,0.2299,0.1757,0.1754
