tool\sys,en,de,hi,zh,es,fr
en,0.8400,0.9033,0.8400,0.8133,0.8933,0.8700
de,0.8533,0.8867,0.8367,0.8200,0.8667,0.8833
hi,0.8200,0.7833,0.6567,0.6733,0.7333,0.7633
zh,0.8500,0.8933,0.7667,0.8000,0.8767,0.8633
es,0.8667,0.8833,0.8300,0.8500,0.8900,0.8967
fr,0.8667,0.9133,0.8333,0.8300,0.8533,0.9200
