tool\sys,en,de,hi,zh,es,fr
en,0.9267,0.9279,0.9308,0.9395,0.9164,0.9049
de,0.9366,0.9423,0.9597,0.9354,0.9453,0.9193
hi,0.9193,0.9440,0.9337,0.9423,0.9453,0.9279
zh,0.9094,0.9453,0.9555,0.9209,0.9279,0.9279
es,0.9164,0.9354,0.9222,0.9424,0.9337,0.9193
fr,0.9251,0.9193,0.9440,0.9453,0.9267,0.9107
