tool\sys,en,de,hi,zh,es,fr
en,0.8539,0.8806,0.8370,0.8774,0.8909,0.8621
de,0.8921,0.8712,0.8407,0.8839,0.8892,0.8991
hi,0.9395,0.9279,0.9481,0.9222,0.9250,0.9135
zh,0.9222,0.9193,0.9181,0.9049,0.9238,0.9020
es,0.8777,0.8926,0.8750,0.8678,0.8950,0.8863
fr,0.8551,0.8806,0.8580,0.9008,0.9053,0.8765
