tool\sys,en,de,hi,zh,es,fr
en,0.9192,0.9507,0.8970,0.9324,0.9714,0.9512
de,0.9531,0.9229,0.8756,0.9426,0.9422,0.9779
hi,1.0228,0.9831,1.0159,0.9783,0.9785,0.9848
zh,1.0139,0.9729,0.9602,0.9823,0.9956,0.9720
es,0.9569,0.9532,0.9473,0.9191,0.9579,0.9633
fr,0.9230,0.9555,0.9082,0.9519,0.9767,0.9621
