tool\sys,en,de,hi,zh,es,fr
en,0.9442,0.0000,0.0000,0.0000,0.0000,0.0000
de,0.0000,0.8999,0.0000,0.0000,0.0000,0.0000
hi,0.0000,0.0000,0.6283,0.0000,0.0000,0.0000
zh,0.0000,0.0000,0.0000,0.8264,0.0000,0.0000
es,0.0000,0.0000,0.0000,0.0000,0.8897,0.0000
fr,0.0000,0.0000,0.0000,0.0000,0.0000,0.9185
