tool\user,en,de,hi,zh,es,fr
en,0.2833,0.1900,0.1100,0.1900,0.2900,0.2233
de,0.4533,0.1833,0.2400,0.2233,0.4367,0.2467
hi,0.3500,0.2867,0.0533,0.1667,0.2900,0.2700
zh,0.2067,0.1333,0.0333,0.0033,0.1333,0.1667
es,0.3467,0.2800,0.1600,0.1600,0.1700,0.2133
fr,0.4067,0.3267,0.1733,0.2167,0.2800,0.1533
