tool\user,en,de,hi,zh,es,fr
en,0.3023,0.3156,0.1612,0.2324,0.5921,0.3573
de,0.5593,0.2226,0.5980,0.3054,1.4302,0.8075
hi,0.6363,0.3294,0.0629,0.2009,0.2990,0.3433
zh,0.2439,0.1565,0.0433,0.0056,0.4639,0.1819
es,0.4041,0.5110,0.2589,0.1868,0.1809,0.2482
fr,0.4818,0.8630,0.3309,0.3703,0.6742,0.5076
