tool\user,en,de,hi,zh,es,fr
en,0.8555,0.8919,0.8767,0.8737,0.8857,0.9247
de,0.8941,0.9027,0.9157,0.9027,0.9114,0.9222
hi,0.8904,0.8919,0.8987,0.9308,0.9330,0.9330
zh,0.8987,0.9182,0.9287,0.8768,0.8984,0.9139
es,0.9070,0.9000,0.9244,0.9135,0.8811,0.9092
fr,0.9092,0.9135,0.9330,0.9113,0.9286,0.9114
