tool\user,en,de,hi,zh,es,fr
en,0.9330,0.9157,0.9308,0.9265,0.9114,0.9308
de,0.9265,0.9070,0.9222,0.9179,0.9071,0.9265
hi,0.9182,0.9200,0.9373,0.9092,0.9200,0.9395
zh,0.9092,0.9204,0.9244,0.9092,0.9225,0.9395
es,0.9321,0.9135,0.9352,0.9027,0.9049,0.9113
fr,0.9244,0.9160,0.9352,0.9157,0.9095,0.9222
