tool\sys,en,de,hi,zh,es,fr
en,0.2800,0.1700,0.1350,0.3100,0.0950,0.0800
de,0.3050,0.3450,0.1250,0.3600,0.1850,0.1450
hi,0.5450,0.2150,0.5350,0.4500,0.2300,0.2300
zh,0.3500,0.1850,0.1600,0.5350,0.1850,0.1400
es,0.5150,0.4400,0.2900,0.4650,0.5350,0.4550
fr,0.4150,0.2750,0.0900,0.3800,0.2900,0.1800
