user\sys,en,de,hi,zh,es,fr
en,0.2807,0.2863,0.2191,0.3313,0.2692,0.2762
de,0.3612,0.3354,0.3050,0.4047,0.3624,0.3619
hi,0.4257,0.4087,0.2491,0.4544,0.4383,0.3964
zh,0.2596,0.2494,0.2483,0.2512,0.2478,0.3065
es,0.2759,0.2712,0.2552,0.3393,0.2737,0.3027
fr,0.3298,0.3349,0.2970,0.3533,0.3039,0.2810
