tool\sys,en,de,hi,zh,es,fr
en,0.9453,0.0000,0.0000,0.0000,0.0000,0.0000
de,0.0000,0.7869,0.0000,0.0000,0.0000,0.0000
hi,0.0000,0.0000,0.6202,0.0000,0.0000,0.0000
zh,0.0000,0.0000,0.0000,0.6476,0.0000,0.0000
es,0.0000,0.0000,0.0000,0.0000,0.8142,0.0000
fr,0.0000,0.0000,0.0000,0.0000,0.0000,0.8225
