tool\sys,en,de,hi,zh,es,fr
en,0.3750,0.2400,0.2500,0.1850,0.2750,0.2150
de,0.5750,0.2100,0.4850,0.4000,0.2550,0.3600
hi,0.5600,0.3650,0.2750,0.2650,0.2900,0.2700
zh,0.7050,0.3500,0.4900,0.1600,0.4150,0.3300
es,0.7100,0.4350,0.4500,0.3600,0.3000,0.3100
fr,0.5800,0.3350,0.4550,0.3050,0.3200,0.3250
