tool\sys,en,de,hi,zh,es,fr
en,0.4567,0.6867,0.5100,0.5133,0.5200,0.6833
de,0.4233,0.3733,0.3033,0.2967,0.3367,0.3233
hi,0.7867,0.6433,0.7933,0.6033,0.4733,0.5400
zh,0.5467,0.3833,0.3967,0.3100,0.4400,0.6333
es,0.6433,0.7000,0.7167,0.5400,0.6900,0.6333
fr,0.6633,0.6200,0.6100,0.5267,0.5300,0.6233
