tool\sys,en,de,hi,zh,es,fr
en,0.3867,0.3226,0.2467,0.3770,0.3313,0.2927
de,0.3557,0.3875,0.2938,0.3730,0.3780,0.3217
hi,0.3553,0.3829,0.2934,0.3560,0.3270,0.3040
zh,0.3220,0.3017,0.2643,0.3271,0.2995,0.2885
es,0.4026,0.4002,0.3087,0.3735,0.3862,0.3472
fr,0.4577,0.4192,0.3703,0.4372,0.4093,0.3648
