tool\sys,en,de,hi,zh,es,fr
en,0.7347,0.6863,0.6701,0.7651,0.7570,0.6369
de,0.7746,0.7717,0.7546,0.8067,0.9693,0.8429
hi,0.7955,0.9628,0.8266,0.9007,0.8073,0.7687
zh,0.7496,0.7712,0.6157,0.7832,0.7171,0.6848
es,0.8895,0.8341,0.7820,0.8230,0.8157,0.8096
fr,0.9134,0.9317,0.8397,0.9312,0.9065,0.7271
