tool\sys,en,de,hi,zh,es,fr
en,0.2995,0.3057,0.2491,0.4500,0.3335,0.3106
de,0.3915,0.4518,0.3441,0.5302,0.4414,0.4193
hi,0.4938,0.5042,0.3931,0.5759,0.5217,0.5044
zh,0.2706,0.3576,0.2405,0.3929,0.3493,0.3068
es,0.3617,0.3920,0.2954,0.4819,0.3500,0.3653
fr,0.3562,0.3715,0.3020,0.4673,0.3729,0.3685
