tool\sys,en,de,hi,zh,es,fr
en,0.9800,0.9000,0.9067,0.7967,0.9100,0.9300
de,0.9567,0.9664,0.8600,0.9500,0.9367,0.9367
hi,0.6856,0.6170,0.6520,0.6888,0.6344,0.6932
zh,0.9375,0.9051,0.9421,0.9085,0.9120,0.9435
es,0.9530,0.9733,0.9185,0.9034,0.9367,0.9033
fr,0.9667,0.9367,0.8833,0.9600,0.9167,0.8900
