tool\sys,en,de,hi,zh,es,fr
en,0.1555,0.2250,0.1797,0.2476,0.1916,0.1935
de,0.2389,0.2400,0.2639,0.3174,0.2621,0.2081
hi,0.2490,0.3000,0.3366,0.3481,0.2621,0.2681
zh,0.1608,0.1650,0.1808,0.1733,0.1638,0.1786
es,0.1502,0.1200,0.2207,0.2640,0.1489,0.1495
fr,0.1971,0.1800,0.2229,0.2656,0.2343,0.1935
