tool\sys,en,de,hi,zh,es,fr
en,0.8925,0.0000,0.0000,0.0000,0.0000,0.0000
de,0.0000,0.7177,0.0000,0.0000,0.0000,0.0000
hi,0.0000,0.0000,0.5428,0.0000,0.0000,0.0000
zh,0.0000,0.0000,0.0000,0.7432,0.0000,0.0000
es,0.0000,0.0000,0.0000,0.0000,0.8197,0.0000
fr,0.0000,0.0000,0.0000,0.0000,0.0000,0.6375
