tool\sys,en,de,hi,zh,es,fr
en,0.7332,0.6904,0.5900,0.7320,0.6739,0.7200
de,0.7303,0.7255,0.5921,0.7131,0.6793,0.7246
hi,0.7234,0.7258,0.6579,0.7291,0.7089,0.7085
zh,0.7316,0.7287,0.6320,0.7296,0.6991,0.7041
es,0.7311,0.7234,0.6233,0.7159,0.6957,0.7316
fr,0.7344,0.7394,0.6168,0.7337,0.6690,0.6971
