tool\sys,en,de,hi,zh,es,fr
en,0.7685,0.7155,0.5259,0.6908,0.7549,0.7234
de,0.8011,0.7469,0.6481,0.7184,0.7641,0.7692
hi,0.8487,0.7647,0.6759,0.7876,0.8111,0.8222
zh,0.7710,0.7278,0.5629,0.7029,0.7321,0.7802
es,0.7822,0.6728,0.5388,0.6759,0.7419,0.7173
fr,0.7974,0.7393,0.5932,0.7043,0.7569,0.7599
