tool\sys,en,de,hi,zh,es,fr
en,0.3935,0.3486,0.3705,0.5183,0.4285,0.3903
de,0.5451,0.5535,0.5456,0.6301,0.5785,0.5522
hi,0.6863,0.6493,0.5749,0.6944,0.6794,0.6704
zh,0.3771,0.4814,0.3882,0.4903,0.4878,0.4483
es,0.4939,0.4960,0.4953,0.5363,0.4672,0.4744
fr,0.4903,0.4591,0.4840,0.5434,0.5040,0.4785
