tool\user,en,de,hi,zh,es,fr
en,0.1711,0.0000,0.0000,0.0000,0.0000,0.0000
de,0.0000,0.1650,0.0000,0.0000,0.0000,0.0000
hi,0.0000,0.0000,0.2571,0.0000,0.0000,0.0000
zh,0.0000,0.0000,0.0000,0.1811,0.0000,0.0000
es,0.0000,0.0000,0.0000,0.0000,0.1525,0.0000
fr,0.0000,0.0000,0.0000,0.0000,0.0000,0.1715
