tool\sys,en,de,hi,zh,es,fr
en,0.4043,0.3759,0.3892,0.5410,0.4614,0.4075
de,0.5649,0.5786,0.5752,0.6566,0.6131,0.5801
hi,0.7180,0.6618,0.5935,0.7175,0.7201,0.6961
zh,0.4101,0.5111,0.4138,0.5144,0.5119,0.4594
es,0.5260,0.5174,0.5027,0.5762,0.4892,0.4926
fr,0.5172,0.4754,0.5020,0.5703,0.5166,0.4847
