tool\sys,en,de,hi,zh,es,fr
en,0.2894,0.2813,0.2319,0.4282,0.3094,0.2922
de,0.3745,0.4305,0.3253,0.5036,0.4148,0.3958
hi,0.4690,0.4873,0.3734,0.5568,0.4896,0.4797
zh,0.2493,0.3344,0.2217,0.3672,0.3293,0.2929
es,0.3382,0.3707,0.2822,0.4498,0.3334,0.3462
fr,0.3380,0.3545,0.2854,0.4439,0.3602,0.3580
