tool\sys,en,de,hi,zh,es,fr
en,0.7168,0.7397,0.5947,0.7882,0.6607,0.7196
de,0.6616,0.7471,0.5667,0.7651,0.6738,0.6801
hi,0.6613,0.7370,0.6301,0.7732,0.6805,0.6906
zh,0.6078,0.6505,0.5306,0.7097,0.6419,0.6384
es,0.6409,0.7128,0.5543,0.7777,0.6736,0.7026
fr,0.6489,0.7409,0.5641,0.7758,0.6882,0.7347
