tool\sys,en,de,hi,zh,es,fr
en,0.1624,0.0999,0.3374,0.1390,0.1057,0.1118
de,0.3864,0.2007,0.2292,0.2338,0.1388,0.1669
hi,0.6606,0.3274,0.4393,0.3640,0.3553,0.3973
zh,0.1628,0.1264,0.1030,0.1974,0.1573,0.1070
es,0.3872,0.1721,0.2204,0.3094,0.2259,0.1172
fr,0.4606,0.1666,0.3088,0.3456,0.1949,0.2243
