tool\sys,en,de,hi,zh,es,fr
en,0.1000,0.0767,0.2033,0.0667,0.0667,0.0633
de,0.2233,0.1300,0.1167,0.1167,0.0833,0.0867
hi,0.3700,0.1767,0.2300,0.1733,0.1833,0.1767
zh,0.0833,0.0533,0.0467,0.0867,0.0700,0.0433
es,0.2067,0.0967,0.1233,0.1433,0.1267,0.0633
fr,0.2333,0.1033,0.1600,0.1567,0.0933,0.0900
