tool\sys,en,de,hi,zh,es,fr
en,0.8600,0.8867,0.7733,0.8233,0.8733,0.8567
de,0.8767,0.8933,0.7800,0.8300,0.8733,0.8833
hi,0.8100,0.7800,0.6100,0.6867,0.7433,0.7633
zh,0.8567,0.8967,0.7267,0.8233,0.8667,0.8700
es,0.8867,0.8867,0.7800,0.8533,0.8767,0.9000
fr,0.8733,0.9067,0.7867,0.8333,0.8467,0.8967
