tool\sys,en,de,hi,zh,es,fr
en,0.9222,0.9092,0.9049,0.8987,0.9005,0.9049
de,0.8876,0.8987,0.9117,0.8833,0.8962,0.9136
hi,0.9135,0.8789,0.8962,0.8876,0.8659,0.9092
zh,0.9049,0.8876,0.8684,0.8746,0.8789,0.9005
es,0.8919,0.9049,0.8746,0.8876,0.9092,0.9092
fr,0.9160,0.9265,0.8771,0.8919,0.9048,0.9005
