tool\sys,en,de,hi,zh,es,fr
en,0.9120,0.9479,0.8868,0.9343,0.9744,0.9468
de,0.9492,0.9118,0.8607,0.9450,0.9382,0.9612
hi,1.0212,0.9844,1.0298,0.9871,0.9753,0.9857
zh,1.0075,0.9724,0.9686,0.9757,0.9924,0.9715
es,0.9538,0.9559,0.9309,0.9244,0.9573,0.9553
fr,0.9186,0.9446,0.8990,0.9477,0.9673,0.9557
