tool\user,en,de,hi,zh,es,fr
en,0.0500,0.0467,0.0300,0.1367,0.0667,0.0400
de,0.0400,0.0400,0.0400,0.1700,0.0667,0.0267
hi,0.0567,0.0400,0.0367,0.1933,0.0633,0.0500
zh,0.0500,0.0400,0.0300,0.1267,0.0333,0.0333
es,0.0700,0.0533,0.0633,0.1667,0.0633,0.0267
fr,0.0367,0.0367,0.0200,0.1467,0.0633,0.0267
