tool\user,en,de,hi,zh,es,fr
en,0.6612,0.0000,0.0000,0.0000,0.0000,0.0000
de,0.0000,0.4044,0.0000,0.0000,0.0000,0.0000
hi,0.0000,0.0000,0.4044,0.0000,0.0000,0.0000
zh,0.0000,0.0000,0.0000,0.6612,0.0000,0.0000
es,0.0000,0.0000,0.0000,0.0000,0.5555,0.0000
fr,0.0000,0.0000,0.0000,0.0000,0.0000,0.4627
