tool\user,en,de,hi,zh,es,fr
en,0.8572,0.8832,0.8334,0.8832,0.8988,0.8560
de,0.9000,0.8527,0.8967,0.9058,0.9259,0.9053
hi,0.9251,0.9510,0.9152,0.9308,0.9452,0.9279
zh,0.9020,0.9452,0.9197,0.8938,0.9238,0.9222
es,0.8815,0.9082,0.9036,0.8892,0.8519,0.8880
fr,0.8700,0.9037,0.9111,0.9337,0.9123,0.8568
