user\sys,en,de,hi,zh,es,fr
en,0.2027,0.1930,0.2752,0.2246,0.1860,0.2142
de,0.4055,0.3359,0.3967,0.4377,0.3753,0.3810
hi,0.5325,0.4595,0.3462,0.4612,0.4867,0.4718
zh,0.2882,0.3135,0.2832,0.2519,0.3627,0.4137
es,0.3297,0.3449,0.3634,0.3726,0.2314,0.2772
fr,0.3573,0.3921,0.3471,0.4330,0.3467,0.3096
