user\sys,en,de,hi,zh,es,fr
en,0.1464,0.1054,0.1132,0.1330,0.1090,0.1098
de,0.2666,0.1843,0.1731,0.2441,0.1959,0.2018
hi,0.3071,0.2391,0.1489,0.2522,0.2571,0.2362
zh,0.1685,0.1547,0.1271,0.1277,0.1767,0.1747
es,0.2036,0.1791,0.1502,0.1937,0.1310,0.1418
fr,0.2346,0.2121,0.1568,0.2446,0.1998,0.1700
